GEOID,total.x,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population,total.y,black,latino,percentage.black,percentage.latino
17031061500,903,0,0,29,28,47,16,35,11,8,75,113,172,94,70,108,97,60525,11.01081178180626,2032,2032,34,151,0.01673228346456693,0.07431102362204725
17031061800,693,54,6,39,97,25,23,68,47,26,52,86,53,57,16,44,0,44787,10.709673197721699,855,855,25,58,0.029239766081871343,0.06783625730994151
17031062000,1518,64,30,71,10,51,88,42,41,134,56,108,287,223,110,78,125,59001,10.985309671896763,2566,2566,94,253,0.036632891660171474,0.09859703819173811
17031062100,1767,156,85,98,111,53,51,58,64,11,103,161,271,123,22,190,210,49460,10.808919541075408,3332,3332,14,276,0.004201680672268907,0.08283313325330131
17031062200,1491,48,0,17,25,27,38,45,24,0,134,134,141,258,127,268,205,71127,11.172222290541194,2987,2987,85,220,0.02845664546367593,0.07365249414127888
17031062300,797,10,0,15,0,0,26,0,30,12,44,143,116,85,93,71,152,73134,11.200048653883892,1749,1749,20,64,0.011435105774728416,0.03659233847913093
17031062400,730,29,31,0,25,0,11,0,0,41,16,113,101,62,59,54,188,80235,11.29271510763346,1769,1769,12,169,0.006783493499152063,0.09553420011305823
17031062500,711,30,0,0,13,26,11,25,34,39,37,103,61,92,70,34,136,54927,10.913760309880715,1728,1728,73,98,0.04224537037037037,0.056712962962962965
17031062600,972,23,26,0,11,46,37,21,48,89,63,96,116,35,22,109,230,70515,11.163580732126341,2131,2131,8,80,0.003754106053496011,0.03754106053496011
17031062700,1263,92,63,42,19,88,9,10,28,17,96,65,111,76,97,161,289,66498,11.104927151003707,2705,2705,0,173,0,0.06395563770794824
17031062800,1600,105,27,21,33,12,55,63,0,17,164,172,119,144,179,88,401,72340,11.18913250550609,3514,3514,182,307,0.05179282868525897,0.0873648264086511
17031062900,2041,75,42,49,0,56,19,0,61,89,126,175,234,225,268,249,373,70723,11.166526117226267,4114,4114,0,321,0,0.07802625182304326
17031063000,1979,153,95,56,52,107,70,59,49,178,75,118,196,193,144,156,278,64722,11.077856453603484,3963,3963,244,62,0.06156951804188746,0.01564471360080747
17031063100,1492,125,30,145,48,34,0,33,90,155,130,159,139,182,91,35,96,49238,10.80442096208924,2330,2330,152,132,0.06523605150214593,0.05665236051502146
17031063200,4178,309,145,212,130,112,166,344,274,150,367,347,579,262,235,253,293,51464,10.848637813090836,6587,6587,402,565,0.06102930013663276,0.08577501138606346
17031063400,1213,133,30,21,14,62,73,44,36,88,43,53,135,129,52,91,209,76245,11.241707118549112,2049,2049,111,105,0.05417276720351391,0.05124450951683748
